freq,unit,airpol,src_crf,geo\TIME_PERIOD	2019 
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,AT	13.61 
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,BE	0.53 
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,BG	: z
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,CY	: z
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,CZ	2.52 
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,DE	10.96 
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,DK	: z
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,EE	: z
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,EL	: z
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,ES	: z
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,EU27_2020	57.13 
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,EU28	57.77 
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,EU28_IS_K	57.77 
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,FI	: z
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,FR	10.29 
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,HR	: z
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,HU	: z
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,IE	1.38 
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,IS	: z
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,IT	17.84 
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,LT	: z
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,LU	: z
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,LV	: z
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,MT	: z
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,NL	: z
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,PL	: z
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,PT	: z
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,RO	: z
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,SE	: z
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,SI	: z
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,SK	: z
A,THS_T,NF3_CO2E,TOTX4_MEMONIA,UK	0.64 
