freq,indic_de,geo\TIME_PERIOD	2019 
A,JAN,AD	76177 e
A,JAN,AL	2862427 
A,JAN,AM	2965269 
A,JAN,AT	8858775 
A,JAN,AZ	9981457 
A,JAN,BA	3492018 p
A,JAN,BE	11455519 
A,JAN,BG	7000039 
A,JAN,BY	9427348 
A,JAN,CH	8544527 
A,JAN,CY	875899 
A,JAN,CZ	10649800 
A,JAN,DE	83019213 
A,JAN,DK	5806081 
A,JAN,EA18	338729883 bp
A,JAN,EA19	341524067 bp
A,JAN,EE	1324820 
A,JAN,EL	10724599 
A,JAN,ES	46937060 
A,JAN,EU27_2007	509017310 bp
A,JAN,EU27_2020	446446444 bp
A,JAN,EU28	513093556 bp
A,JAN,FI	5517919 
A,JAN,FR	67177636 p
A,JAN,GE	3723464 
A,JAN,HR	4076246 
A,JAN,HU	9772756 
A,JAN,IE	4904240 
A,JAN,IS	356991 
A,JAN,IT	59816673 b
A,JAN,LI	38378 
A,JAN,LT	2794184 
A,JAN,LU	613894 
A,JAN,LV	1919968 
A,JAN,MC	38300 e
A,JAN,ME	622182 
A,JAN,MK	2077132 
A,JAN,MT	493559 
A,JAN,NL	17282163 
A,JAN,NO	5328212 
A,JAN,PL	37972812 
A,JAN,PT	10276617 
A,JAN,RO	19414458 
A,JAN,RS	6963764 
A,JAN,SE	10230185 
A,JAN,SI	2080908 
A,JAN,SK	5450421 
A,JAN,SM	34590 
A,JAN,TR	82003882 
A,JAN,UA	41983564 e
A,JAN,UK	66647112 
A,JAN,XK	1795666 
